ITB_No,Ln_ITM_ID,Cost_ID,Bundle_ID,CBS_1,CBS_2,CBS_3,CBS_4,CBS_5,CMS_Generated_No,Vendor_Name,Reimbursement_Type,Cost_Type,Activity,Activity_Name,Cost_ID_Description,Cost_Element_Category_Ref,Invoice_number,UploadCheck_RFP_RFQ_GateForm,ValueOf_RFP_RFQ_GateForm,Submitted_ACWP,Submitted_OH,Submitted_Profit,Submitted_ACWP_w_Fee,Certified_Without_Fee,Unauthorized_WO_Fee,Deauthorization_category,Certified Amount,Certified Overhead,Certified Profit,Certified_Amount_W_Fee
ITB_SAN_03,,COST_000007,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000015,CBS_000016,CBS_000017,ONX-EM-ERPC-0000797,,,Direct,ACT_000007,ACTN_000008,DESC_COST_000007,,,,,"12,086.34","1,808.95","1,552.75","15,988.75",,,,,,,
ITB_SAN_03,,COST_000041,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000011,CBS_000012,CBS_000017,ONX-EM-ERPC-0000803,,,Direct,ACT_000005,ACTN_000009,DESC_COST_000041,,,,,"79,908.73","11,298.83","10,035.07","95,341.11",,,,,,,
ITB_SAN_03,,COST_000042,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000011,CBS_000012,CBS_000017,ONX-EM-ERPC-0000804,,,Direct,ACT_000005,ACTN_000009,DESC_COST_000042,,1639015A,,,799.44,118.53,106.33,987.89,,,,,,,
ITB_SAN_03,,COST_000019,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000020,CBS_000021,CBS_000005,ONX-EM-ERPC-0000806,,,Direct,ACT_000008,ACTN_000006,DESC_COST_000019,,,,,261.84,40.53,34.78,339.54,,,,,,,
ITB_SAN_03,,COST_000057,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000020,CBS_000022,CBS_000017,ONX-EM-ERPC-0000810,,,Direct,ACT_000009,ACTN_000010,DESC_COST_000057,,Relocation_Invoice 1001,,,"25,664.64","3,792.93","3,202.18","31,571.74",,,,,,,
ITB_SAN_03,,COST_000058,BUNDLE_000001,CBS_000001,CBS_000023,CBS_000024,CBS_000025,CBS_000005,ONX-EM-ERPC-0000818,,,Direct,ACT_000010,ACTN_000006,DESC_COST_000058,,,,,"9,858.14","1,459.13","1,307.08","12,619.57",,,,,,,
ITB_SAN_03,,COST_000033,BUNDLE_000001,CBS_000001,CBS_000023,CBS_000006,CBS_000026,CBS_000005,ONX-EM-ERPC-0000819,,,Direct,ACT_000011,ACTN_000006,DESC_COST_000033,,Relocation_Invoice 1001,,,"1,965.66",305.13,277.22,"2,609.29",,,,,,,
ITB_SAN_03,,COST_000059,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000027,CBS_000005,ONX-EM-ERPC-0000821,,,Direct,ACT_000012,ACTN_000011,DESC_COST_000059,,1639015A,,,"2,397.06",371.78,310.15,"2,952.76",,,,,,,
ITB_SAN_03,,COST_000050,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000027,CBS_000005,ONX-EM-ERPC-0000824,,,Direct,ACT_000012,ACTN_000008,DESC_COST_000050,,,,,"4,722.94",727.28,647.49,"5,958.52",,,,,,,
ITB_SAN_03,,COST_000054,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000028,CBS_000029,CBS_000005,ONX-EM-ERPC-0000839,,,Direct,ACT_000013,ACTN_000012,DESC_COST_000054,,,,,"23,922.04","3,823.69","3,362.61","32,236.33",,,,,,,
ITB_SAN_03,,COST_000049,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000028,CBS_000029,CBS_000005,ONX-EM-ERPC-0000840,,,Direct,ACT_000013,ACTN_000012,DESC_COST_000049,,,,,48.69,7.15,6.56,59.12,,,,,,,
ITB_SAN_03,,COST_000018,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000030,CBS_000031,CBS_000017,ONX-EM-ERPC-0000841,,,Direct,ACT_000014,ACTN_000013,DESC_COST_000018,,T-3455,,,35.66,5.34,4.69,46.51,,,,,,,
ITB_SAN_03,,COST_000027,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000030,CBS_000031,CBS_000017,ONX-EM-ERPC-0000842,,,Direct,ACT_000014,ACTN_000014,DESC_COST_000027,,,,,232.27,35.31,31.27,295.72,,,,,,,
ITB_SAN_03,,COST_000028,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000030,CBS_000031,CBS_000017,ONX-EM-ERPC-0000843,,,Direct,ACT_000014,ACTN_000014,DESC_COST_000028,,13504207,,,861.49,130.79,112.65,"1,147.52",,,,,,,
ITB_SAN_03,,COST_000055,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000030,CBS_000031,CBS_000017,ONX-EM-ERPC-0000844,,,Direct,ACT_000014,ACTN_000014,DESC_COST_000055,,13486537,,,173.63,27.54,24.06,226.46,,,,,,,
ITB_SAN_03,,COST_000056,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000030,CBS_000031,CBS_000017,ONX-EM-ERPC-0000845,,,Direct,ACT_000014,ACTN_000014,DESC_COST_000056,,13486530,,,203.59,30.64,24.77,245.77,,,,,,,
